"year","doy","lon","lat","name","AOT470","AOT550"
"2006",119,-71.269,42.528,"Billerica",0.0699738763306911,0.0573253062618516
"2006",119,-73.949,40.821,"CCNY",0.135242301098772,0.11490374293635
"2006",119,-79.75,44.226,"Egbert",0.131856033195735,0.117116468089154
"2006",120,-71.269,42.528,"Billerica",0.108824888628246,0.091418878853847
"2006",120,-73.949,40.821,"CCNY",0.138331255085776,0.116284965913909
"2006",120,-79.75,44.226,"Egbert",0.126999366252915,0.111282367599187
"2006",121,-71.269,42.528,"Billerica",0.0730444734959597,0.0583912395469597
"2006",121,-73.949,40.821,"CCNY",0.119828412522709,0.102924402826629
"2006",121,-79.75,44.226,"Egbert",0.162189907732253,0.136537375376686
"2006",122,-79.75,44.226,"Egbert",0.109617842126872,0.0898086542188478
"2006",123,-79.75,44.226,"Egbert",0.116844151432471,0.0930717493466046
"2006",124,-71.269,42.528,"Billerica",0.079530190135001,0.0632727545285303
"2006",124,-73.949,40.821,"CCNY",0.151842289524124,0.123798975622708
"2006",124,-79.75,44.226,"Egbert",0.0925998928103829,0.0724468431669417
"2006",125,-71.269,42.528,"Billerica",0.369656725209386,0.283903584862754
"2006",125,-73.949,40.821,"CCNY",0.224491426958641,0.196326997296917
"2006",125,-79.75,44.226,"Egbert",0.0854207440513004,0.0655596696637846
"2006",126,-71.269,42.528,"Billerica",0.219124880653723,0.167113253606691
"2006",126,-73.949,40.821,"CCNY",0.353413455462162,0.280730154640908
"2006",126,-79.75,44.226,"Egbert",0.073190434148067,0.0595549143965187
"2006",127,-71.269,42.528,"Billerica",0.0787214673238286,0.0647309973932804
"2006",127,-73.949,40.821,"CCNY",0.130381484150744,0.107507756440306
"2006",128,-71.269,42.528,"Billerica",0.147585762631233,0.127786063797833
"2006",128,-79.75,44.226,"Egbert",0.217483768852684,0.168171993862767
"2006",129,-79.75,44.226,"Egbert",0.128755183873734,0.099962011075819
"2006",130,-79.75,44.226,"Egbert",0.141666445240833,0.115428371696893
"2006",132,-79.75,44.226,"Egbert",0.256761846209944,0.188893374088208
"2006",133,-73.949,40.821,"CCNY",0.267241561959403,0.209802131529115
"2006",135,-73.949,40.821,"CCNY",0.280610891526409,0.215986713459756
"2006",136,-79.75,44.226,"Egbert",0.0624358579356378,0.0476255397245892
"2006",137,-71.269,42.528,"Billerica",0.293906828170648,0.224901366183406
"2006",137,-73.949,40.821,"CCNY",0.31941648086082,0.251326169741329
"2006",137,-79.75,44.226,"Egbert",0.152536979165358,0.120515320115412
"2006",138,-71.269,42.528,"Billerica",0.264937118943808,0.202491693424434
"2006",138,-73.949,40.821,"CCNY",0.313398450218654,0.2433744433331
"2006",139,-79.75,44.226,"Egbert",0.0913356569139553,0.0712423299386917
"2006",140,-71.269,42.528,"Billerica",0.119457372995795,0.0895698702359375
"2006",140,-73.949,40.821,"CCNY",0.10757390586338,0.0889400172669815
"2006",140,-79.75,44.226,"Egbert",0.0586774009793678,0.0457325025406195
"2006",141,-71.269,42.528,"Billerica",0.0597268241767726,0.0467566415808951
"2006",141,-73.949,40.821,"CCNY",0.116066494624395,0.0947361779267078
"2006",142,-71.269,42.528,"Billerica",0.0621062251400662,0.0481824919904288
"2006",142,-73.949,40.821,"CCNY",0.109067444753637,0.0891608759206677
"2006",142,-79.75,44.226,"Egbert",0.0990288947389349,0.075721821423555
"2006",143,-71.269,42.528,"Billerica",0.0567347731095076,0.0434174462285096
"2006",143,-73.949,40.821,"CCNY",0.101193517195851,0.0807915168199717
"2006",143,-79.75,44.226,"Egbert",0.0714850220885122,0.0533496988846881
"2006",144,-73.949,40.821,"CCNY",0.131542397701927,0.105802315894188
"2006",144,-79.75,44.226,"Egbert",0.122010426657797,0.0945003895763099
"2006",145,-71.269,42.528,"Billerica",0.127683889221613,0.099790995258452
"2006",145,-73.949,40.821,"CCNY",0.211705919019767,0.164818193510717
"2006",145,-79.75,44.226,"Egbert",0.320685825019917,0.242698473023266
"2006",146,-73.949,40.821,"CCNY",0.742352586233489,0.597529367344745
"2006",147,-71.269,42.528,"Billerica",0.368184855750472,0.282085806041648
"2006",147,-73.949,40.821,"CCNY",0.215803234770169,0.169201419071254
"2006",147,-79.75,44.226,"Egbert",0.136195233666773,0.106517741239318
"2006",148,-71.269,42.528,"Billerica",0.172067868659889,0.139540250318126
"2006",148,-73.949,40.821,"CCNY",0.435905010802523,0.355620053896026
"2006",148,-79.75,44.226,"Egbert",0.425117539547347,0.351959400431034
"2006",149,-71.269,42.528,"Billerica",0.313514907439696,0.252266155665385
"2006",149,-73.949,40.821,"CCNY",0.473897924138624,0.380777525088927
"2006",149,-79.75,44.226,"Egbert",0.329636165961808,0.251700008459509
"2006",150,-71.269,42.528,"Billerica",0.341349311411919,0.267714282923696
"2006",150,-73.949,40.821,"CCNY",0.43804355164652,0.341103440784204
"2006",150,-79.75,44.226,"Egbert",0.576137029265919,0.450941781907858
"2006",151,-71.269,42.528,"Billerica",0.383492744951639,0.296494587213976
"2006",151,-73.949,40.821,"CCNY",0.390289391142731,0.31511693851588
"2006",152,-71.269,42.528,"Billerica",0.940820371451914,0.734087969687402
"2006",152,-73.949,40.821,"CCNY",0.900236822938389,0.721104853913626
"2006",156,-73.949,40.821,"CCNY",0.181846379718612,0.139950145334097
"2006",156,-79.75,44.226,"Egbert",0.195672684110213,0.146263676920857
"2006",157,-71.269,42.528,"Billerica",0.28932805134653,0.214014637777603
"2006",157,-79.75,44.226,"Egbert",0.220311925758287,0.168085406852613
"2006",158,-79.75,44.226,"Egbert",0.199510655935366,0.149222204636224
"2006",159,-79.75,44.226,"Egbert",0.260923798596358,0.200475638491776
"2006",160,-73.949,40.821,"CCNY",0.256763499460705,0.205446660023747
"2006",161,-73.949,40.821,"CCNY",0.0821967994016037,0.0673927883187248
"2006",161,-79.75,44.226,"Egbert",0.0726569518246966,0.05401365511882
"2006",162,-71.269,42.528,"Billerica",0.068746904377113,0.0515593718542969
"2006",162,-73.949,40.821,"CCNY",0.0908929430032452,0.0733089337471972
"2006",162,-79.75,44.226,"Egbert",0.0321190959470472,0.0224848172393633
"2006",163,-71.269,42.528,"Billerica",0.1117367162455,0.0824838411332729
"2006",163,-79.75,44.226,"Egbert",0.0691190746279166,0.0534990815056348
"2006",164,-71.269,42.528,"Billerica",0.127943643713281,0.0956723777034572
"2006",164,-73.949,40.821,"CCNY",0.148419187117185,0.117260377718417
"2006",165,-71.269,42.528,"Billerica",0.126659309085549,0.09471682840159
"2006",165,-79.75,44.226,"Egbert",0.136084545641991,0.103340727174928
"2006",166,-71.269,42.528,"Billerica",0.124008017846372,0.0954651909951612
"2006",166,-73.949,40.821,"CCNY",0.187469533581662,0.150645914956628
"2006",166,-79.75,44.226,"Egbert",0.0955032876915871,0.0713843661074735
"2006",167,-71.269,42.528,"Billerica",0.160375165705897,0.121126937909019
"2006",167,-73.949,40.821,"CCNY",0.192512346568692,0.153941204248327
"2006",167,-79.75,44.226,"Egbert",0.119812066410412,0.0896897304051216
"2006",168,-71.269,42.528,"Billerica",0.261867908810412,0.219909358639669
"2006",168,-79.75,44.226,"Egbert",0.481291978712906,0.368185677433739
"2006",169,-71.269,42.528,"Billerica",0.494093647125975,0.367769535657701
"2006",169,-73.949,40.821,"CCNY",0.473381874114204,0.359372376997763
"2006",169,-79.75,44.226,"Egbert",0.537793473208079,0.40808515445909
"2006",170,-71.269,42.528,"Billerica",0.816161974310736,0.618370990218572
"2006",170,-73.949,40.821,"CCNY",0.613467634150634,0.481000310283419
"2006",170,-79.75,44.226,"Egbert",0.148490517208007,0.112292434508294
"2006",171,-71.269,42.528,"Billerica",0.200846922965081,0.149465697912674
"2006",171,-73.949,40.821,"CCNY",0.33723289995242,0.264785738217829
"2006",171,-79.75,44.226,"Egbert",0.0444074813189243,0.0312456167249355
"2006",172,-71.269,42.528,"Billerica",0.0612317014509827,0.044591222681721
"2006",172,-73.949,40.821,"CCNY",0.260519354051903,0.199095663209089
"2006",172,-79.75,44.226,"Egbert",0.198297002333335,0.155382683972225
"2006",173,-71.269,42.528,"Billerica",0.264252565394705,0.196108595971115
"2006",173,-79.75,44.226,"Egbert",0.226097080650927,0.173944469170829
"2006",174,-73.949,40.821,"CCNY",0.356856223510344,0.282022859519173
"2006",174,-79.75,44.226,"Egbert",0.178679090963747,0.136803535715077
"2006",175,-79.75,44.226,"Egbert",0.134999745163016,0.10412766477236
"2006",176,-79.75,44.226,"Egbert",0.182470370027601,0.141254338557172
"2006",178,-71.269,42.528,"Billerica",0.0960863571643532,0.0798956364363188
"2006",179,-79.75,44.226,"Egbert",0.466826458137796,0.361588628318942
"2006",179,-79.47,43.78,"Toronto",0.637476005318577,0.491535865060119
"2006",180,-79.75,44.226,"Egbert",0.365683606002649,0.282105937299764
"2006",180,-79.47,43.78,"Toronto",0.847935431649259,0.670475520103614
"2006",181,-71.269,42.528,"Billerica",0.347757311956442,0.262884717766724
"2006",181,-73.949,40.821,"CCNY",0.444601472252056,0.34629319100684
